u-ab-known u-ab-sim
0.652794 0.542728
0.561915 0.559605
0.465203 0.457459
0.577025 0.598420
0.289763 0.296853
0.634297 0.657697
0.233514 0.226320
0.534527 0.586290
0.318198 0.355254
0.388139 0.391421
0.753374 0.743503
0.729154 0.731202
0.840419 0.843784
0.313712 0.838450
0.359392 0.357310
0.803280 0.800364
0.538980 0.518141
0.373749 0.394967
0.432998 0.419402
0.600028 0.567852
0.664624 0.659749
0.510529 0.517759
0.289856 0.292055
0.308865 0.311328
0.522995 0.525167
0.522563 0.523918
0.442161 0.433383
0.504677 0.533989
0.301416 0.274928
0.298654 0.296423
0.337850 0.273557
0.364232 0.000000
0.430370 0.425041
0.386478 0.363322
0.425696 0.411598
0.411563 0.461125
0.777992 0.762411
0.906993 0.953376
0.547786 0.567994
0.482292 0.485773
0.310862 0.341318
0.652172 0.658148
0.458022 0.467061
0.367588 0.091444
0.339909 0.095295
0.470456 0.471968
0.351137 0.644325
0.396737 0.441003
0.405472 0.432665
0.483923 0.466054
0.605437 0.619580
0.381539 0.392476
0.529352 0.518989
0.408382 0.416236
0.302602 0.298796
0.436279 0.408307
0.345503 0.353301
0.442154 0.480076
0.499252 0.502045
0.640347 0.615376
0.212011 0.199344
0.316316 0.294310
0.626526 0.634685
0.356486 0.359313
0.259249 0.282615
0.483796 0.515642
0.472008 0.483161
0.337510 0.322185
0.417910 0.424621
0.228997 0.232636
0.409585 0.420565
0.427205 0.448336
0.329574 0.326378
0.560995 0.534992
0.537353 0.530550
0.312380 0.322035
0.489658 0.506025
